#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
6375396;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6375408;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6375420;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;26 ;"&";1;1;COM3;;
6375432;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;93 ;"ì";1;1;COM3;;
6375456;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6375468;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6375477;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6375492;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6375504;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;28 ;"(";1;1;COM3;;
6375516;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;91 ;"ë";1;1;COM3;;
6375540;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6375552;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6375564;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6375576;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6375588;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;28 ;"(";1;1;COM3;;
6375600;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;91 ;"ë";1;1;COM3;;
6375624;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6375636;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6375648;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6375660;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6375672;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;29 ;")";1;1;COM3;;
6375684;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;90 ;"ê";1;1;COM3;;
6375708;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6375717;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6375729;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6375741;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6375753;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;2a ;"*";1;1;COM3;;
6375765;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;8f ;"è";1;1;COM3;;
6375792;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6375801;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6375813;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6375825;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6375837;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;2c ;",";1;1;COM3;;
6375849;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;8d ;"ç";1;1;COM3;;
6375876;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6375888;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6375900;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6375910;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6375924;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;2d ;"-";1;1;COM3;;
6375936;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;8c ;"å";1;1;COM3;;
6375960;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6375972;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6375984;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6375996;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6376008;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;2e ;".";1;1;COM3;;
