#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
6685960;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6685972;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;2b ;"+";1;1;COM3;;
6685984;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;3a ;":";1;1;COM3;;
6686020;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6686031;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6686044;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6686056;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;2c ;",";1;1;COM3;;
6686068;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;39 ;"9";1;1;COM3;;
6686104;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6686116;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6686128;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6686140;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;2d ;"-";1;1;COM3;;
6686152;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;38 ;"8";1;1;COM3;;
6686188;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6686200;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6686212;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6686224;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;2e ;".";1;1;COM3;;
6686236;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;37 ;"7";1;1;COM3;;
6686272;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6686281;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6686296;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6686308;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;2f ;"/";1;1;COM3;;
6686320;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;36 ;"6";1;1;COM3;;
6686356;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6686368;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6686380;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6686392;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;30 ;"0";1;1;COM3;;
6686404;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;35 ;"5";1;1;COM3;;
6686440;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6686452;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6686464;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6686476;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;31 ;"1";1;1;COM3;;
6686488;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;34 ;"4";1;1;COM3;;
6686524;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6686533;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6686542;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6686556;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;32 ;"2";1;1;COM3;;
6686568;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;33 ;"3";1;1;COM3;;
6686602;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
