#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
6687954;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;42 ;"B";1;1;COM3;;
6687966;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;23 ;"#";1;1;COM3;;
6687995;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;04 32 00 42 8b ;".2.Bã";5;;COM3;;
6688002;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6688014;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"í";1;1;COM3;;
6688026;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6688038;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;43 ;"C";1;1;COM3;;
6688050;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;22 ;"""";1;1;COM3;;
6688079;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;04 32 00 43 8a ;".2.Cä";5;;COM3;;
6688086;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6688098;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"í";1;1;COM3;;
6688110;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6688122;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;44 ;"D";1;1;COM3;;
6688134;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;21 ;"!";1;1;COM3;;
6688163;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;04 32 00 44 89 ;".2.Dâ";5;;COM3;;
6688170;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6688182;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"í";1;1;COM3;;
6688194;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6688206;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;45 ;"E";1;1;COM3;;
6688218;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;20 ;" ";1;1;COM3;;
6688247;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;04 32 00 45 88 ;".2.Eà";5;;COM3;;
6688254;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6688266;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"í";1;1;COM3;;
6688278;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6688290;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6688302;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;1f ;".";1;1;COM3;;
6688331;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;04 32 00 46 87 ;".2.Fá";5;;COM3;;
6688338;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6688350;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"í";1;1;COM3;;
6688362;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6688374;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;47 ;"G";1;1;COM3;;
